Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Schedule-tddui-schedule-example.json	280	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	9	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-tddui-pp-pa-servicerequest-besoin-1-example.json	908	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	6	12	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-tddui-pp-pa-servicerequest-besoin-2-example.json	900	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	7	12	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-tddui-pp-pa-servicerequest-besoin-3-example.json	919	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	6	12	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-tddui-service-request-demande-orientation-example.json	812	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	12	0	0	0	0	0	0	0
fsh-generated/resources/Slot-tddui-slot-presence-absence-example.json	1430	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	7	10	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-admission-date.json	1319	1	0	8	0	0	0	0	0	16	0	0	0	0	1	0	0	1	0	0	1	49	687	0	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-tddui-assessment-method.json	1425	1	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	47	292	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-attachment.json	1944	1	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	48	337	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-basic-decision.json	25922	3	0	113	0	0	0	0	0	201	0	0	1	0	1	0	0	3	0	0	2	956	2110	0	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-tddui-birth-order.json	1914	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	49	239	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-bundle.json	29802	5	0	701	0	0	0	0	0	168	0	0	1	0	0	0	0	9	0	0	2	2410	4894	0	0	0	0	48	1	6
fsh-generated/resources/StructureDefinition-tddui-careplan-projet-personnalise.json	11485	3	0	31	0	0	0	0	0	55	0	0	1	0	1	0	0	2	0	0	1	400	975	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-tddui-careplan-reference.json	1596	1	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	48	230	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-comment.json	2154	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	49	262	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-consent-accord.json	3095	1	0	12	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	151	420	0	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-tddui-decision.json	42648	5	0	37	0	0	0	0	1	105	0	0	0	0	1	0	0	2	0	0	2	1110	1065	0	0	1	0	17	1	2
fsh-generated/resources/StructureDefinition-tddui-discriminator.json	1641	1	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	49	163	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-document-reference.json	14705	1	0	16	0	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	2	322	599	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-tddui-encounter-evenement.json	30891	71	0	40	0	0	0	0	0	76	0	0	1	0	1	0	0	2	0	0	1	769	878	0	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-tddui-encounter-sejour.json	13615	2	0	24	0	0	0	0	0	40	0	0	0	0	0	0	0	2	0	0	1	446	595	0	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-tddui-entry-date-origin.json	1426	1	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	46	180	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-entry-mode-label.json	1320	1	0	3	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	47	163	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-evaluation-reference.json	1545	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	46	442	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-event-cancel-reason.json	1577	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	51	162	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-event-label.json	1311	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	45	162	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-event-reason.json	1329	1	0	2	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	45	160	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-event-report.json	1381	1	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	45	166	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-tddui-exercise-mode.json	1851	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	59	169	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-exit-mode-label.json	1312	1	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	45	154	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-facturation.json	1290	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	43	154	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-goal-attente.json	7448	1	0	15	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	1	257	394	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-tddui-goal-objectif.json	14854	2	0	19	0	0	0	0	0	48	0	0	1	0	0	0	0	1	0	0	0	423	523	0	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-tddui-goal-projet-vie.json	8129	2	0	16	0	0	0	0	0	30	0	0	0	0	1	0	0	1	0	0	1	283	381	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-tddui-household-situation.json	4968	1	0	7	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	202	316	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-tddui-human-name.json	1029	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	49	173	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-meal.json	1295	1	0	3	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	46	154	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-nationality.json	3072	1	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	101	193	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-tddui-observation-cause-mortalite.json	3816	0	0	12	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	1	215	469	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-tddui-observation-mobilite-usager.json	3975	1	0	13	0	0	0	0	0	20	0	0	0	0	1	0	0	1	0	0	0	227	369	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-tddui-observation-periode-scolaire.json	11889	2	0	24	0	0	0	0	0	54	0	0	0	0	0	0	0	1	0	0	1	517	646	0	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-tddui-observation-repas.json	6604	1	0	15	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	281	456	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-tddui-organization.json	2025	1	0	19	0	0	0	0	0	26	0	0	1	0	0	0	0	2	0	0	0	328	709	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-tddui-outside-service.json	1411	1	0	3	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1	47	168	0	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-tddui-participant-present.json	1802	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	47	154	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-patient-ins.json	18795	3	0	42	0	0	0	0	0	80	0	0	0	0	0	0	0	4	0	0	1	967	1356	0	0	0	0	18	1	1
fsh-generated/resources/StructureDefinition-tddui-patient-present.json	1422	0	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	47	161	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tddui-patient-validation.json	1360	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	45	153	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-patient.json	19303	2	0	34	0	0	0	0	0	67	0	0	1	0	0	0	0	3	0	0	1	838	1150	0	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-tddui-planned-absence.json	1263	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	46	155	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-practitioner-role.json	3743	1	0	7	0	0	0	0	0	13	0	0	0	0	1	0	0	1	0	0	0	152	278	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-tddui-practitioner.json	2727	0	0	14	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	0	1	263	594	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-tddui-profession.json	1725	1	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	60	166	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-qr-participant.json	3082	1	0	4	0	0	0	0	0	10	0	0	0	0	1	0	0	1	0	0	0	100	235	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-questionnaire-response.json	20016	2	0	13	0	0	0	0	0	37	0	0	0	0	0	0	0	1	0	0	1	414	487	0	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-tddui-related-person-contact-description.json	1375	1	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	47	157	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tddui-related-person-contact.json	8214	1	0	15	0	0	0	0	0	22	0	0	1	0	1	0	0	1	0	0	0	288	398	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-tddui-ressources-used.json	4149	1	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	1	133	218	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-tddui-schedule.json	1043	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	80	221	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-tddui-service-request-besoin.json	6844	1	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	268	394	0	0	1	0	5	0	0
fsh-generated/resources/StructureDefinition-tddui-service-request-demande-orientation.json	13806	2	0	20	0	0	0	0	0	135	0	0	0	0	1	0	0	1	0	0	1	460	555	0	0	0	0	9	0	1
